customerid,recency,frequency,monetary,avg_order_value,monetary_per_day,is_high_value,cluster
12346,325.0,12,154740.06,12895.005,474.66276073619633,1,-1
12347,1.0,8,9231.529999999982,1153.9412499999978,4615.764999999991,1,0
12348,74.0,5,3095.6400000000003,619.128,41.275200000000005,0,1
12349,18.0,3,5136.240000000001,1712.0800000000002,270.3284210526316,1,0
12350,309.0,1,588.8,588.8,1.8993548387096773,0,1
12351,374.0,1,300.92999999999995,300.92999999999995,0.8024799999999999,0,1
12352,35.0,10,4795.879999999997,479.58799999999974,133.2188888888888,1,0
12353,203.0,2,495.76,247.88,2.4301960784313725,0,1
12354,231.0,1,2158.800000000001,2158.800000000001,9.305172413793109,0,1
12355,213.0,2,1407.0100000000002,703.5050000000001,6.574813084112151,0,1
12356,22.0,6,8099.1599999999935,1349.859999999999,352.13739130434755,1,0
12357,32.0,2,23645.33000000004,11822.66500000002,716.5251515151527,1,-1
12358,1.0,5,4375.130000000004,875.0260000000007,2187.565000000002,1,0
12359,57.0,10,15183.419999999966,1518.3419999999965,261.78310344827526,1,0
12360,51.0,6,5914.95,985.8249999999999,113.74903846153846,1,0
12361,286.0,4,626.1499999999999,156.53749999999997,2.1817073170731702,0,1
12362,2.0,10,9474.459999999997,947.4459999999997,3158.1533333333323,1,0
12363,109.0,2,1104.0,552.0,10.036363636363637,0,1
12364,7.0,4,2416.200000000001,604.0500000000003,302.02500000000015,0,1
12365,290.0,2,1282.76,641.38,4.408109965635739,0,1
12366,633.0,1,500.24,500.24,0.7890220820189274,0,1
12367,3.0,1,301.79999999999995,301.79999999999995,75.44999999999999,0,1
12368,627.0,1,917.7,917.7,1.4613057324840766,0,1
12369,412.0,3,1511.1499999999996,503.7166666666665,3.658958837772396,0,1
12370,50.0,7,7378.499999999989,1054.071428571427,144.67647058823508,1,0
12371,59.0,4,4875.339999999997,1218.8349999999994,81.25566666666663,1,0
12372,71.0,3,2392.0800000000004,797.3600000000001,33.223333333333336,0,1
